Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,c000f9ng,6,"Monday, February 18, 2013 11:10:57 UTC",39.1034,140.8735,4.6,44.00,36,"eastern Honshu, Japan"
nc,71939715,3,"Monday, February 18, 2013 11:09:08 UTC",38.5130,-122.6242,2.6,13.30,104,"Northern California"
ci,11246194,0,"Monday, February 18, 2013 11:07:21 UTC",33.5087,-116.4677,1.4,12.90,77,"Southern California"
us,c000f9nc,6,"Monday, February 18, 2013 11:06:44 UTC",38.8655,142.2378,4.7,61.30,26,"near the east coast of Honshu, Japan"
nc,71939710,0,"Monday, February 18, 2013 11:01:38 UTC",38.7485,-122.6985,1.5,1.90, 9,"Northern California"
us,c000f9n8,5,"Monday, February 18, 2013 10:59:36 UTC",32.1444,138.6644,4.6,10.30,72,"Izu Islands, Japan region"
us,c000f9n4,7,"Monday, February 18, 2013 10:50:41 UTC",-10.8360,165.6817,5.3,11.10,139,"Santa Cruz Islands"
nn,00403533,9,"Monday, February 18, 2013 10:49:17 UTC",38.0278,-118.0823,1.6,10.40,16,"Nevada"
us,c000f9n1,4,"Monday, February 18, 2013 10:31:35 UTC",-34.0388,-71.3113,4.7,13.40,34,"Region Metropolitana, Chile"
us,c000f9mr,6,"Monday, February 18, 2013 10:24:28 UTC",-11.6242,166.6022,4.7,35.40,33,"Santa Cruz Islands"
hv,60451537,2,"Monday, February 18, 2013 10:23:40 UTC",19.3862,-155.2808,2.1,3.00,18,"Island of Hawaii, Hawaii"
ak,10657740,1,"Monday, February 18, 2013 10:09:01 UTC",65.6744,-151.6298,2.7,8.40,16,"northern Alaska"
us,c000f9mg,5,"Monday, February 18, 2013 10:00:11 UTC",-33.9417,-72.0631,5.2,21.50,176,"offshore Libertador O'Higgins, Chile"
ak,10657734,1,"Monday, February 18, 2013 09:04:54 UTC",63.5345,-147.4055,1.8,5.30,13,"Central Alaska"
us,c000f9m0,6,"Monday, February 18, 2013 08:59:55 UTC",46.9992,156.6046,4.7,9.80,85,"east of the Kuril Islands"
nc,71939690,0,"Monday, February 18, 2013 08:59:37 UTC",38.7582,-122.7312,1.2,2.40,19,"Northern California"
ak,10657729,1,"Monday, February 18, 2013 08:55:56 UTC",63.5263,-147.3083,1.7,4.70, 8,"Central Alaska"
nc,71939670,0,"Monday, February 18, 2013 08:16:58 UTC",38.8132,-122.7735,1.2,0.40,12,"Northern California"
pr,13049002,0,"Monday, February 18, 2013 07:55:52 UTC",18.7765,-64.2425,3.0,43.00, 6,"Virgin Islands region"
ak,10657718,2,"Monday, February 18, 2013 07:47:26 UTC",58.3788,-154.8924,2.0,3.60,10,"Alaska Peninsula"
ci,11246162,0,"Monday, February 18, 2013 07:43:02 UTC",33.3640,-116.8112,1.0,7.80,42,"Southern California"
ci,11246154,0,"Monday, February 18, 2013 07:42:26 UTC",33.8908,-116.5217,1.2,2.00,53,"Southern California"
pr,13049001,0,"Monday, February 18, 2013 07:27:40 UTC",18.9018,-64.3535,2.5,38.00, 5,"Virgin Islands region"
ci,11246138,0,"Monday, February 18, 2013 07:21:45 UTC",35.9977,-117.9018,1.0,5.80,11,"Central California"
nc,71939635,0,"Monday, February 18, 2013 07:18:28 UTC",36.3822,-120.9643,1.3,5.20, 7,"Central California"
ci,11246130,0,"Monday, February 18, 2013 07:08:02 UTC",36.1152,-118.0392,2.2,3.10,32,"Central California"
ak,10657711,2,"Monday, February 18, 2013 07:01:10 UTC",61.5539,-150.4213,1.3,12.20, 9,"Southern Alaska"
nc,71939625,0,"Monday, February 18, 2013 06:56:52 UTC",38.7502,-122.7093,1.5,1.90,14,"Northern California"
ak,10657706,1,"Monday, February 18, 2013 06:53:48 UTC",62.1617,-149.3176,1.9,32.90,13,"Central Alaska"
ak,10657702,1,"Monday, February 18, 2013 06:20:22 UTC",64.4932,-147.1818,1.0,8.50, 6,"Central Alaska"
ci,11246098,0,"Monday, February 18, 2013 05:59:04 UTC",33.9588,-116.7290,1.4,20.50,46,"Southern California"
nc,71939610,2,"Monday, February 18, 2013 05:56:42 UTC",37.4693,-118.6953,1.4,15.30,37,"Central California"
nc,71939605,0,"Monday, February 18, 2013 05:55:37 UTC",38.7618,-122.7150,1.1,2.30,15,"Northern California"
ak,10657684,1,"Monday, February 18, 2013 05:38:45 UTC",62.6551,-150.0509,3.3,6.00,47,"Central Alaska"
